StartPoint(km);EndPoint(km);Curve(m)
4.45;4.96;787
5.14;5.54;730
6.29;6.56;1639
6.85;7.51;952
8.042;8.29;503
8.62;8.87;294
9.033;9.463;465
9.603;9.963;575
10.054;10.404;589
10.454;10.987;500
10.987;11.354;532
11.504;11.754;4000
11.754;12.044;2000
12.72;12.97;2380
13.03;13.17;763
13.81;14.32;493
14.45;14.83;657
15.53;15.89;720
15.92;16;12500
16.35;16.77;649
16.81;17.31;490
17.65;17.995;397
17.995;18.015;775
18.015;18.185;606
18.305;18.675;610
19.38;19.65;1052
19.99;20.76;690
20.760;21.130;763
21.170;21.720;490
21.940;22.260;1087
22.670;23.060;1021
23.800;24.360;500
24.470;24.760;500
25.750;26.800;521
26.870;27.210;373
27.630;27.950;355
28.050;28.540;377
28.700;28.900;981
29.150;29.260;550
29.340;29.450;550
30.030;30.340;414
30.380;30.720;394
30.900;31.370;606
33.030;33.290;952
33.673;34.000;400
34.140;34.250;25000
34.480;34.540;14286
34.680;34.700;412
35.380;35.660;592
35.810;36.170;680
37.060;37.580;392
37.640;37.910;372
38.190;38.440;575
38.780;39.100;333
39.230;39.780;406
39.980;40.700;392
40.89;41.63;336
41.63;42.195;410
42.33;42.55;1333
42.83;43.22;633
43.89;44.24;545
44.26;44.64;294
44.72;45.3;302
45.3;46.2;300
46.25;46.62;303
47.82;48.16;386
48.57;49.49;500
49.49;49.74;367
49.95;50.112;2381
50.262;50.542;435
