#Station;Stop Sign(km);Station Location(km)
Porto Sao Bento;-2.699;-2.618
Porto Campanha;-0.05;0
Contumil;2.6;2.443
Rio Tinto;4.8;4.74928
Aguas Santas;6.44;6.537
Ermesinde;8.525;8.42885
Cabeda;10.5;10.4552
Suzao;14.4;14.3598
Valongo;16.1;15.9657
S. Martinho do Campo;18.6;18.6225
Terronhas;21.7;21.715
Trancoso;23.5;23.39
Recarei-Sobreira;25.4;25.3321
Parada;28.2;28.37
Cete;30.22;30.17
Irivo;31.83;31.941
Oleiros;33.074;33.054
Paredes;35;34.937
Penafiel;38.13;38.753
Bustelo;40.9;40.994
Meinedo;43.2;43.0528
Caide;46.079;46.0772
